Campaign,Campaign Type,Campaign Status,Campaign Daily Budget,Bid Strategy Type,Ad Group,Ad Group Status,Max CPC,Keyword,Match Type,Ad Status,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
AZ | 1 ICBC & Car Accident,Search,Enabled,3.5,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Persian Physio (English),,,,,Enabled,Responsive search ad,Persian Physio West Van,Farsi-Speaking Physio,"Persian Physio, ICBC Billed",Iranian Physiotherapists,We Speak Farsi & English,ICBC: $0 Out of Pocket,"No Referral, Book Direct",Same-Week Appointments,West Vancouver Clinic,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,"Farsi-speaking physio in West Vancouver. ICBC injuries billed direct, $0 to you.",Farsi and English speaking physiotherapy in West Vancouver. We direct bill ICBC.,English and Farsi speaking team. Same-week appointments across two clinics.,No referral needed in BC. Book directly and start treatment at your first visit.,farsi,physio,https://azaleaphysio.com/fa
AZ | 6 Farsi & Persian,,,,,Farsi Physio (Script),Enabled,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Farsi Physio (Script),,,فیزیوتراپی ونکوور,Broad,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Farsi Physio (Script),,,فیزیوتراپی نورت ونکوور,Broad,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Farsi Physio (Script),,,فیزیوتراپی فارسی زبان,Broad,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Farsi Physio (Script),,,فیزیوتراپی ونکوور غربی,Broad,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 6 Farsi & Persian,,,,,Farsi Physio (Script),,,,,Enabled,Responsive search ad,فیزیوتراپی در ونکوور غربی,فیزیوتراپیست فارسی‌زبان,کلینیک فیزیوتراپی آزالیا,نوبت در همین هفته,بدون نیاز به ارجاع,تسویه مستقیم با ICBC,تیم فارسی‌زبان و انگلیسی,باز تا ۷ عصر و شنبه‌ها,رزرو آنلاین نوبت,دو کلینیک در ونکوور غربی,,,,,,فیزیوتراپی فارسی‌زبان در ونکوور غربی. تسویه مستقیم با ICBC و بیمه‌های مکمل.,بدون نیاز به ارجاع، همین هفته نوبت بگیرید. تیم فارسی‌زبان و انگلیسی.,علت درد را درمان می‌کنیم، نه فقط علامت آن. باز تا ۷ عصر و شنبه‌ها.,دو کلینیک در ونکوور غربی. رزرو آنلاین در چند دقیقه.,farsi,vancouver,https://azaleaphysio.com/fa
AZ | 7 Branded,Search,Enabled,1,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 7 Branded,,,,,Azalea Brand,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 7 Branded,,,,,Azalea Brand,,,azalea physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 7 Branded,,,,,Azalea Brand,,,azalea physio west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 7 Branded,,,,,Azalea Brand,,,azalea physiotherapy clinic,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 7 Branded,,,,,Azalea Brand,,,azalea physio,Exact,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 7 Branded,,,,,Azalea Brand,,,mary ghoroghi physiotherapy,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 7 Branded,,,,,Azalea Brand,,,,,Enabled,Responsive search ad,Azalea Physiotherapy,Azalea Physio West Van,Book Your Visit Online,Two West Vancouver Clinics,Open Until 7pm & Saturdays,Direct Billing Available,English & Farsi Speaking,Rated 4.6 on Google,Find the Cause Not the Symptom,,,,,,,"Book your visit at Azalea Physiotherapy, West Vancouver. Two clinics, open until 7pm.","We find the cause, not just the symptom, so relief lasts past the appointment.","We direct bill ICBC, WorkSafeBC and most extended health plans. Less to pay upfront.",English and Farsi speaking team. Same-week appointments across two clinics.,west-vancouver,book,https://azaleaphysio.com/
AZ | 8 Seasonal Sport,Search,Paused,4,Manual CPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Golf Injury,Enabled,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Golf Injury,,,golf injury physio west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Golf Injury,,,golf performance physiotherapy vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Golf Injury,,,golf injury treatment,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Golf Injury,,,,,Enabled,Responsive search ad,Golf Injury Physiotherapy,Golf Performance Physio,Back to Your Best Swing,Treat the Cause of Pain,West Vancouver Golf Physio,Same-Week Appointments,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,,Golf injury or lost distance? Performance physio minutes from the North Shore.,"We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",golf-injury,west-van,https://azaleaphysio.com/conditions/golf-injury
AZ | 8 Seasonal Sport,,,,,Ski & Snowboard Injury,Enabled,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Ski & Snowboard Injury,,,ski injury physiotherapy west vancouver,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Ski & Snowboard Injury,,,snowboard injury rehab north shore,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Ski & Snowboard Injury,,,ski injury treatment,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
AZ | 8 Seasonal Sport,,,,,Ski & Snowboard Injury,,,,,Enabled,Responsive search ad,Ski & Snowboard Injury,Ski Injury Physiotherapy,Back on the Mountain,Treat the Cause of Pain,Minutes From Cypress,Same-Week Appointments,No Referral Needed in BC,Open Until 7pm & Saturdays,English & Farsi Speaking,Two West Vancouver Clinics,Book Online in Minutes,Rated 4.6 on Google,,,,Ski or snowboard injury? Get assessed and back on the mountain with a staged plan.,"We find the cause, not just the symptom, so relief lasts past the appointment.",No referral needed in BC. Book directly and start treatment at your first visit.,"Open until 7pm and Saturdays, with two West Vancouver clinics. Book online in minutes.",ski-injury,north-shore,https://azaleaphysio.com/conditions/ski-snowboard-injury
